id,hole,index,par,shots
15,6,1,5,t393.y180l.r25-3.s25-12x2.f6-12.f4-10.g2-3
15,7,5,4,t348x3.f164.f12-7.g8-2x2
15,8,9,4,t339.r123r.g22-1x3
15,9,3,4,t340.r159r.f8-5.g3-2x2
16,1,13,4,t300x3.r53l.g5-9x2
16,2,5,4,t320.r96r.r8-5.g18-12x2
16,3,3,4,t332.r115r.y89r.r26-7.g11-3x2
16,4,15,3,t130.f9-1.g14-2x2
16,5,11,4,t240.y34-4.g24-5x3
16,6,1,4,t362x2.r104r.g11-4x3
16,7,17,3,t114x3.r11-11.g2-2
16,8,9,4,t286.f97.s6-3x2.g15-12x2
16,9,7,3,t138.y25x5
17,1,2,5,t469.f228.r73r.g18-4x2
17,2,1,5,t479.f267.f82.r5-10.g4-5
17,3,8,4,t240.r60l.r30-12.f8-8.g5-7x2
17,4,5,3,t193.g9-8x2
17,5,3,4,t334x3.f126x3.g9-4
17,6,6,3,t198.s10-9.r7-6.g7-6x2
17,7,7,4,t312.y114r.f29.f4-12.g2-9
17,8,4,4,t301.r116rx3.g28-4x2
17,9,9,3,t148.r34-9x2.g4-10
18,1,15,4,t301.r60l.s18-2.r5-1.g4-6x2
18,2,7,4,t308.r72lx2.r26-11.g8-10x3
18,3,17,3,t130.r18-3.g18-6x2
18,4,13,4,t284.r135l.s24-8x3.g13-8x2
18,5,11,3,t170.f30-5.g5-5
18,6,1,5,t389.f146.f9-4.f5-4.g2-2
18,7,5,4,t341.f90.f46-6.g9-3x2
18,8,9,4,t324.f64.g18-10x2
18,9,3,4,t343.f112.g7-3x2
19,1,2,5,t460.r235r.f64.g9-9x2
19,2,1,5,t472x3.r234l.f56.g6-10x2
19,3,8,4,t234.r68l.r37-6.g15-12x2
19,4,5,3,t211.g15-3x3
19,5,3,4,t329x3.r169l.f13-11.g5-4x2
19,6,6,3,t202.r108-6.r6-11.g1-6
19,7,7,4,t317.r155l.r24-2x2.g6-3x2
19,8,4,4,t312.f114.g10-3x2
19,9,9,3,t143.r22-9.g1-3
20,1,15,4,t308.r60l.r14-11.g30-1x2
20,2,7,4,t318x3.r67l.r9-1.g4-1
20,3,17,3,t134.g4-9x2
20,4,13,4,t288.r136r.g29-5x3
20,5,11,3,t176.g27-1x2
20,6,1,5,t391.r140l.g19-4x2
20,7,5,4,t336.r119l.g6-6
20,8,9,4,t327.f64.g12-9x2
20,9,3,4,t339.s142r.r24-3.g11-1x2
21,1,2,5,t461x3.r249r.g18-10x3
21,2,1,5,t455.r197lx3.r44-4.g8-10x2
21,3,8,4,t234.t228.r58l.g10-3x2
21,4,5,3,t210.f7-1.g5-6
21,5,3,4,t298.r74r.g13-4x2
21,6,6,3,t169.f8-11.g5-7x2
21,7,7,4,t289.g14-11x3
21,8,4,4,t268.f62.r7-6.g5-10
21,9,9,3,t114.g18-3x2
22,1,6,4,t388.f142.s12-5.r6-6.g11-6x2
22,2,12,4,t327.f117.g21-6x2
22,3,16,3,t167.f5-3.g5-11
22,4,2,4,t411.y209r.r67l.g12-10x2
22,5,4,5,t501.f208.s84-5.f69.r7-1.g2-2
22,6,14,3,t215.g12-3x2
22,7,10,4,t345.r114r.g18-8x3
22,8,18,3,t155.r19-10.r8-5.g4-4
22,9,8,5,t495.r225r.r155r.r85-6.g33-1x2
23,1,15,4,t319.s115r.s20-2.s12-10.f6-6.g1-7
23,2,7,4,t326.r102l.r42-4.g32-12x3
23,3,17,3,t149.r16-4.r3-2.g2-12
23,4,13,4,t298.r102r.g17-12x2
23,5,11,3,t196.f12-7.g4-7
23,6,1,5,t441.f178.f118.g13-9x2
23,7,5,4,t354.y121r.f70.g11-10x2
23,8,9,4,t376.r150l.f98.g24-1x3
23,9,3,4,t354.f118.s10-3x2.g8-7x2
24,1,9,4,t315.r104r.r53-6.g10-10x2
24,2,7,5,t408.r210r.r11-8.g6-3x2
24,3,13,3,t166.r48-5.f5-6.g6-12x2
24,4,1,5,t545.f290.y110l.r42-6.f8-6.g3-9
24,5,15,3,t150.g2-4
24,6,3,4,t373x2.r122l.g25-11x3
24,7,11,4,t276x3.r71r.f5-7.g8-12x3
24,8,5,4,t334.r101r.g16-7x3
24,9,17,4,t240.f6-9.g8-6
24,10,18,3,t130.r11-7.g16-5x2
24,11,14,4,t260.r8-4.g12-1x2
24,12,10,3,t199.r13-8.g2-2
24,13,8,4,t385x2.r280r.f180.r84l.r9-7.g1-9
24,14,4,4,t414.r135r.r9-3.g5-6
24,15,12,4,t364.r110r.f9-4.g4-7
24,16,6,5,t530.s280l.y128l.r9-11.g4-1
24,17,16,3,t170.f14-6.g26-12x2
24,18,2,5,t546.r466r.r354r.y242l.f231.y98l.f70.g6-9x2
25,1,2,5,t446.f253.r109l.g24-7x2
25,2,1,5,t459x2.r248r.r70r.g8-11x2
25,3,8,4,t229.r70l.g17-1x2
25,4,5,3,t193.g27-3x3
